Qualtrics Columns,Current?,Added in Scoring,To Add in clean,Added before end
PRE_RACE_V2_4,,,x,
PRE_RACE_V2_5,,,x,
PRE_RACE_V2_6,,,x,
PRE_RACE_V2_7,,,x,
PRE_RACE_V2_8,,,x,
PRE_RACE_ASIAN_1,,,x,
PRE_RACE_ASIAN_2,,,x,
PRE_RACE_ASIAN_3,,,x,
PRE_RACE_ASIAN_4,,,x,
PRE_RACE_ASIAN_5,,,x,
PRE_MAXEDU,,,x,
